temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana,total_jug,jug_esp,jug1,jug3,jug5,mas5,porcentaje_jug_esp,porcentaje_jug_1,porcentaje_jug_3,porcentaje_jug_5,porcentaje_jug_mas5,total_min_no_esp,porcentaje_min_esp,porcentaje_min_no_esp,total_puntos_no_esp,porcentaje_puntos_esp,porcentaje_puntos_no_esp,total_val_no_esp,porcentaje_val_esp,porcentaje_val__no_esp
08-09,CAI Zaragoza,16,32,8,24,2383,2615,6416,2285,2383,1053,245,259,17,5,3,11,0,3,0.3,0.2,0.6,0.0,0.2,5363,0.2,0.8,2138,0.1,0.9,2026,0.1,0.9
08-09,ViveMenorca,17,32,8,24,2281,2481,6391,2092,2281,1406,433,319,17,5,2,12,1,2,0.3,0.1,0.7,0.1,0.1,4985,0.2,0.8,1848,0.2,0.8,1773,0.2,0.8
98-99,F.C. Barcelona,1,34,26,8,2885,2543,6820,3205,2885,3667,1296,1494,14,10,0,13,1,0,0.7,0.0,0.9,0.1,0.0,3153,0.5,0.5,1589,0.4,0.6,1711,0.5,0.5
98-99,Real Madrid Teka,2,34,26,8,2768,2524,6844,2984,2768,3747,1473,1421,12,8,0,11,0,1,0.7,0.0,0.9,0.0,0.1,3097,0.5,0.5,1295,0.5,0.5,1563,0.5,0.5
98-99,Caja San Fernando,3,34,25,9,2488,2366,6792,2585,2488,2146,613,573,11,6,0,11,0,0,0.5,0.0,1.0,0.0,0.0,4646,0.3,0.7,1875,0.2,0.8,2012,0.2,0.8
98-99,Tau Cer\xe1mica,4,34,24,10,2712,2576,6893,2878,2712,1424,471,500,18,5,6,12,0,0,0.3,0.3,0.7,0.0,0.0,5469,0.2,0.8,2241,0.2,0.8,2378,0.2,0.8
98-99,Adecco Estudiantes,5,34,21,13,2791,2652,6818,2859,2791,4716,1783,1846,14,11,1,13,0,0,0.8,0.1,0.9,0.0,0.0,2102,0.7,0.3,1008,0.6,0.4,1013,0.6,0.4
98-99,Pamesa Cer\xe1mica,6,34,18,16,2600,2565,6843,2596,2600,3633,1227,1036,12,7,0,12,0,0,0.6,0.0,1.0,0.0,0.0,3210,0.5,0.5,1373,0.5,0.5,1560,0.4,0.6
98-99,Baloncesto Fuenlabrada,7,34,18,16,2758,2719,6844,2727,2758,3678,1194,1020,11,7,1,9,0,1,0.6,0.1,0.8,0.0,0.1,3166,0.5,0.5,1564,0.4,0.6,1707,0.4,0.6
98-99,Girona Gavis,8,34,18,16,2696,2692,6795,2670,2696,3420,1203,1130,14,9,1,13,0,0,0.6,0.1,0.9,0.0,0.0,3375,0.5,0.5,1493,0.4,0.6,1540,0.4,0.6
98-99,Unicaja,9,34,18,16,2577,2532,6867,2573,2577,3444,994,934,15,10,0,14,0,1,0.7,0.0,0.9,0.0,0.1,3423,0.5,0.5,1583,0.4,0.6,1639,0.4,0.6
98-99,Pinturas Bruguer Badalona,10,34,18,16,2666,2565,6865,2740,2666,3475,1134,1157,14,9,0,14,0,0,0.6,0.0,1.0,0.0,0.0,3390,0.5,0.5,1532,0.4,0.6,1583,0.4,0.6
98-99,Tdk Manresa,11,34,16,18,2532,2545,6818,2706,2532,3499,1080,1028,12,8,0,11,0,1,0.7,0.0,0.9,0.0,0.1,3319,0.5,0.5,1452,0.4,0.6,1678,0.4,0.6
98-99,C\xe1ceres C.B.,12,34,14,20,2566,2613,6867,2550,2566,4137,1456,1328,14,9,3,8,1,2,0.6,0.2,0.6,0.1,0.1,2730,0.6,0.4,1110,0.6,0.4,1222,0.5,0.5
98-99,F\xf3rum Valladolid,13,34,13,21,2574,2625,6867,2490,2574,3729,1112,1059,14,10,2,11,0,1,0.7,0.1,0.8,0.0,0.1,3138,0.5,0.5,1462,0.4,0.6,1431,0.4,0.6
